name,broad_type,cluster_status,ra,dec,lii,bii,core_radius,central_radius,cluster_radius,num_core_stars,num_central_stars,num_cluster_stars,distance,e_bv,log_age,log_age_error,reference_code,cluster_type,metallicity,metallicity_error,class
NGC 6496,g,o,269.766,-44.266,348.027,-10.014,0.03,0.077,0.125,3,37,88,11307,0.15,10.05,,HARR,glo,-0.46,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
FSR 0290,r,c,314.738,50.765,90.388,3.205,0.015,0.07,0.127,5,31,88,1201,0.802,8.92,0.048,DIAS,irc,,,OPEN STAR CLUSTER
Czernik 8,,,38.255,58.768,135.785,-1.546,0.013,0.05,0.09,3,29,87,1410,0.799,8.175,,DIAS,,,,OPEN STAR CLUSTER
FSR 0732,r,o,75.668,42.54,163.882,0.495,0.01,0.065,0.12,2,32,87,2710,0.521,7,,DIAS,irc,,,OPEN STAR CLUSTER
NGC 2026,,,85.775,20.145,187.212,-5.074,0.02,0.07,0.125,7,27,87,1226,0.333,8.62,,DIAS,non,,,OPEN STAR CLUSTER
FSR 0932,,,91.11,14.562,194.618,-3.484,0.012,0.065,0.13,3,37,87,1508,0.645,9.1,,DIAS,irc,,,OPEN STAR CLUSTER
NGC 2254,,,98.942,7.67,204.325,0.034,0.02,0.07,0.15,5,42,87,2928,0.521,8.675,0.05,DIAS,,,,OPEN STAR CLUSTER
Ruprecht 19,,,111.457,-21.563,235.94,-2.513,0.015,0.055,0.115,4,18,87,1797,0.208,8,,DIAS,dub,,,OPEN STAR CLUSTER
FSR 1478,,,135.033,-52.711,271.983,-4.34,0.015,0.068,0.11,3,35,87,1976,0.687,8.61,0.052,FPOS,,,,OPEN STAR CLUSTER
ESO 065-03,,,192.825,-69.73,302.92,-6.858,0.025,0.085,0.14,5,38,87,3047,0.562,8.96,0.038,DIAS,dub,,,OPEN STAR CLUSTER
DBSB 92,,,225.9,-57.68,319.882,0.776,0.02,0.05,0.1,3,24,87,1963,1.041,7.4,,BOPN,irc,,,OPEN STAR CLUSTER
FSR 1693,,,231.458,-64.82,318.433,-6.703,0.025,0.085,0.14,6,36,87,3743,0.416,9.11,0.042,FPOS,,,,OPEN STAR CLUSTER
Moffat 1,,,240.375,-54.117,328.546,-0.981,0.02,0.06,0.1,4,26,87,2120,0.937,6.8,,DIAS,var,,,OPEN STAR CLUSTER
NGC 6093,g,o,244.26,-22.976,352.673,19.463,0.035,0.095,0.17,1,35,87,10011,0.179,10.1,,HARR,glo,-1.445,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
MWSC 4288,,,251.048,-0.135,17.007,27.909,0.05,0.2,0.35,6,30,87,1994,0.781,9.015,0.038,AIPk,,,,OPEN STAR CLUSTER
ESO 393-12,g,c,264.666,-35.65,353.519,-2.29,0.018,0.055,0.105,2,27,87,8208,1.332,10.1,,DIAS,,-1.045,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
FSR 0124,,,286.733,13.245,46.473,2.634,0.01,0.053,0.105,2,31,87,3026,1.228,8.75,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 0067,,,287.408,-13.9,22.469,-10.256,0.01,0.077,0.14,2,29,87,4079,0.458,9.1,,FPOS,,,,OPEN STAR CLUSTER
ASCC 107,,,297.105,21.958,58.85,-1.869,0.018,0.08,0.17,2,15,87,672,0.2,8.045,0.116,COCD,,,,OPEN STAR CLUSTER
FSR 0163,r,o,300.087,25.42,63.227,-2.426,0.01,0.06,0.11,1,26,87,3412,1.041,8.55,,DIAS,irc,,,OPEN STAR CLUSTER
MWSC 4545,,,301.957,-49.86,349.131,-32.432,0.022,0.125,0.225,4,32,87,1070,0.167,9.31,,AIPk,,,,OPEN STAR CLUSTER
FSR 0356,r,c,334.598,56.77,103.094,-0.088,0.018,0.04,0.1,5,24,87,2200,0.6,9.1,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 0384,,,342.927,56.103,106.752,-2.961,0.013,0.05,0.1,3,32,87,3402,0.75,6.85,,DIAS,irc,,,OPEN STAR CLUSTER
Berkeley 103,,,356.317,59.3,114.566,-2.493,0.02,0.04,0.115,3,13,87,1800,0.999,8.7,,DIAS,,-0.38,,OPEN STAR CLUSTER
King 12,,,358.257,61.959,116.125,-0.138,0.02,0.06,0.1,11,46,87,2400,0.589,7.145,,COCD,,,,OPEN STAR CLUSTER
FSR 0750,r,c,73.095,35.95,167.809,-5.162,0.03,0.08,0.13,6,37,86,3000,0.7,9.455,0.018,FPOS,,,,OPEN STAR CLUSTER
FSR 1066,,,86.85,-6.865,211.823,-17.35,0.02,0.1,0.22,4,27,86,1656,0.791,9.025,,FPOS,,,,OPEN STAR CLUSTER
Collinder 111,,,99.708,6.915,205.344,0.363,0.01,0.053,0.115,2,20,86,1191,0.062,7.7,,DIAS,non,,,OPEN STAR CLUSTER
Haffner 7,,,110.733,-29.49,242.666,-6.797,0.02,0.07,0.155,6,20,86,1893,0.354,9,,DIAS,,,,OPEN STAR CLUSTER
Loden 306,,,166.485,-61.12,290.541,-0.812,0.02,0.095,0.18,2,26,86,1939,0.448,6.76,,COCD,,,,OPEN STAR CLUSTER
vdBergh-Hagen 140,,,193.32,-67.17,303.111,-4.299,0.015,0.06,0.11,2,26,86,5229,0.645,9.4,,DIAS,,,,OPEN STAR CLUSTER
FSR 1656,r,o,205.335,-66.637,307.86,-4.244,0.018,0.06,0.105,8,25,86,5087,0.521,9.25,,FPOS,,,,OPEN STAR CLUSTER
ESO 389-05,,,239.452,-36.195,339.917,12.96,0.014,0.06,0.112,2,29,86,4785,0.312,9.55,,DIAS,,,,OPEN STAR CLUSTER
NGC 6659,,,278.535,23.599,52.499,14.125,0.018,0.09,0.165,4,34,86,1965,0.104,9.43,0.033,DREM,ast,,,OPEN STAR CLUSTER
Berkeley 79,,,281.235,-1.155,31.163,0.919,0.01,0.065,0.11,5,45,86,2434,1.145,6.8,,DIAS,,,,OPEN STAR CLUSTER
NGC 7245,,,333.81,54.333,101.369,-1.865,0.02,0.065,0.16,5,32,86,4000,0.475,8.55,,DIAS,,,,OPEN STAR CLUSTER
Czernik 44,,,353.396,61.938,113.913,0.437,0.02,0.05,0.1,8,29,86,1536,0.833,7.5,,DIAS,,,,OPEN STAR CLUSTER
ASCC 5,,,14.408,55.855,123.807,-7.006,0.03,0.1,0.19,5,25,85,523,0.021,7.78,,COCD,,,,OPEN STAR CLUSTER
NGC 1348,,,53.55,51.4,146.986,-3.707,0.015,0.06,0.11,7,47,85,1800,0.849,8.45,,DIAS,,0.07,,OPEN STAR CLUSTER
Teutsch 45,,,85.65,30.973,177.922,0.51,0.02,0.05,0.095,5,25,85,2999,0.991,7.1,,DIAS,,,,OPEN STAR CLUSTER
FSR 0999,,,100.972,9.425,203.683,2.623,0.02,0.09,0.16,5,32,85,1306,0.375,8.85,,FPRO,,,,OPEN STAR CLUSTER
vdBergh 85,n,o,101.73,1.325,211.238,-0.401,0.02,0.06,0.13,8,21,85,1893,0.666,7.685,,DIAS,,,,NEBULA
Berkeley 28,,,103.035,2.91,210.421,1.483,0.01,0.075,0.12,1,36,85,1964,0.729,7.535,,DIAS,,,,OPEN STAR CLUSTER
FSR 1297,,,110.993,-25.9,239.575,-4.929,0.01,0.07,0.13,2,28,85,3654,1.666,6.7,,FPOS,,,,OPEN STAR CLUSTER
NGC 2383,,,111.172,-20.94,235.265,-2.452,0.015,0.07,0.125,3,23,85,1655,0.21,8.69,0.061,COCD,,,,OPEN STAR CLUSTER
ASCC 40,,,113.415,-13.765,229.985,2.858,0.02,0.075,0.155,2,22,85,3113,0.416,8.8,,COCD,,,,OPEN STAR CLUSTER
FSR 1467,,,151.935,-36.493,269.781,15.63,0.015,0.09,0.195,2,22,85,1606,0.375,9,0.048,FPOS,,,,OPEN STAR CLUSTER
Hogg 23,,,187.148,-60.925,300.158,1.824,0.015,0.055,0.1,2,22,85,1250,0.071,8.31,,COCD,,,,OPEN STAR CLUSTER
FSR 1678,,,221.145,-64.74,314.634,-4.471,0.02,0.095,0.14,3,39,85,1791,0.573,9,,FPOS,,,,OPEN STAR CLUSTER
FSR 1751,,,245.963,-32.01,346.864,12.204,0.018,0.06,0.115,8,26,85,3393,0.458,9.415,,FPOS,,,,OPEN STAR CLUSTER
ESO 137-23,r,o,246.127,-61.733,325.505,-8.6,0.018,0.08,0.13,3,29,85,1561,0.104,9.55,,DIAS,dub,,,OPEN STAR CLUSTER
FSR 0095,,,272.515,4.222,31.99,11.124,0.012,0.07,0.115,4,39,85,4297,0.416,9.35,,FPOS,,,,OPEN STAR CLUSTER
FSR 0089,,,282.183,-3.519,29.492,-1.003,0.012,0.06,0.125,4,21,85,1516,1.853,8.3,,DIAS,irc,,,OPEN STAR CLUSTER
Czernik 42,,,339.903,59.918,107.105,1.161,0.01,0.037,0.075,5,24,85,4001,1.224,6.7,,DIAS,,,,OPEN STAR CLUSTER
FSR 0734,r,c,75.832,42.39,164.075,0.5,0.019,0.08,0.13,6,36,84,1532,0.229,7.5,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 1284,,,109.995,-24.53,237.937,-5.091,0.01,0.07,0.125,3,33,84,1935,0.208,9.145,0.059,FPOS,,,,OPEN STAR CLUSTER
DBSB 5,n,o,112.53,-18.535,233.758,-0.183,0.01,0.055,0.125,3,21,84,2731,0.989,8.235,0.08,BOPN,irc,,,NEBULA
FSR 1430,,,132.968,-44.253,264.643,0.09,0.012,0.055,0.11,4,35,84,6737,2.665,8.5,,DIAS,irc,,,OPEN STAR CLUSTER
Teutsch 44,r,c,155.363,-54.445,282.185,2.271,0.01,0.05,0.085,2,30,84,5877,0.479,9.15,,DIAS,,,,OPEN STAR CLUSTER
Ruprecht 93,,,166.05,-61.37,290.449,-1.125,0.015,0.08,0.135,3,43,84,1619,0.167,8.755,,COCD,,0.153,0.13,OPEN STAR CLUSTER
Loden 1095,,,208.403,-59.745,310.697,2.186,0.012,0.09,0.125,2,47,84,4028,0.854,8.55,,DIAS,,,,OPEN STAR CLUSTER
Loden 1202,r,c,211.1,-58.7,312.302,2.838,0.01,0.07,0.11,1,37,84,1063,0.833,8.645,,DIAS,,,,OPEN STAR CLUSTER
FSR 1689,,,221.722,-59.487,317.119,0.167,0.01,0.06,0.12,2,25,84,2282,0.833,9.275,,FPRO,,,,OPEN STAR CLUSTER
MWSC 5326,,,248.197,-17.143,359.946,20.443,0.02,0.093,0.18,4,28,84,1637,0.25,9.485,0.015,ARIn,,,,OPEN STAR CLUSTER
Harvard 13,,,255.963,-48.083,339.606,-4.033,0.02,0.075,0.11,5,40,84,3612,0.656,9.285,0.02,DIAS,,,,OPEN STAR CLUSTER
MWSC 4349,,,261.757,-57.525,333.772,-12.277,0.018,0.085,0.15,4,29,84,3210,0.521,8.805,,AIPk,,,,OPEN STAR CLUSTER
FSR 0019,g,c,263.91,-21.07,5.499,6.071,0.015,0.055,0.09,3,32,84,5984,0.979,10.1,,FPOS,,-1.045,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
BDSB 113,,,272.257,-20.08,10.328,-0.158,0.01,0.065,0.11,1,33,84,4644,1.291,6,,BIRN,irc,,,OPEN STAR CLUSTER
NGC 6652,g,o,278.94,-32.991,1.534,-11.377,0.02,0.085,0.16,0,30,84,9999,0.094,10.05,,HARR,glo,-0.84,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
FSR 1782,r,c,279.57,-37.56,357.491,-13.738,0.02,0.08,0.14,2,26,84,2650,0.416,9.175,0.044,FPOS,,,,OPEN STAR CLUSTER
NGC 6698,,,281.974,-25.877,9.24,-10.757,0.025,0.083,0.13,6,37,84,4135,0.521,9.2,0.066,DIAS,non,,,OPEN STAR CLUSTER
King 26,,,292.24,14.873,50.411,-1.327,0.016,0.053,0.1,8,31,84,2537,1.02,8.68,0.043,DIAS,,,,OPEN STAR CLUSTER
FSR 0172,,,300.007,29.221,66.424,-0.367,0.012,0.05,0.08,4,41,84,1689,0.812,9.125,,FPRO,,,,OPEN STAR CLUSTER
Dolidze 45,r,o,317.7,37.537,81.937,-7.201,0.01,0.085,0.155,1,27,84,2928,0.521,8.935,,DIAS,,,,OPEN STAR CLUSTER
FSR 0354,,,332.79,57.66,102.785,1.199,0.018,0.06,0.12,4,30,84,1169,0.5,8,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 0430,,,348.856,64.155,112.701,3.207,0.035,0.09,0.135,10,47,84,871,0.625,8.88,,FPRO,,,,OPEN STAR CLUSTER
FSR 0531,,,23.355,74.742,125.742,12.1,0.015,0.08,0.165,3,22,83,3896,0.146,9.4,,FPOS,,,,OPEN STAR CLUSTER
IRAS 05439+3035,,,86.834,30.6,178.771,1.182,0.02,0.06,0.115,5,35,83,2600,1.199,7.2,,BIEM,irc,,,OPEN STAR CLUSTER
King 8,,,87.327,33.63,176.388,3.101,0.015,0.06,0.12,3,22,83,4500,0.631,9.005,0.01,DIAS,,-0.46,0.09,OPEN STAR CLUSTER
NGC 2234,,,97.335,16.759,195.533,2.834,0.02,0.07,0.16,6,27,83,6871,0.979,8.08,0.044,DIAS,,,,OPEN STAR CLUSTER
FSR 1402,,,136.44,-37.875,261.515,6.236,0.02,0.09,0.195,3,17,83,2889,1.853,7.395,0.079,FPOS,,,,OPEN STAR CLUSTER
MWSC 4137,,,141.548,-79.74,294.398,-20.463,0.015,0.105,0.18,3,32,83,1209,0.271,9.21,0.03,AIPk,,,,OPEN STAR CLUSTER
FSR 1653,,,203.46,-63.04,307.716,-0.563,0.02,0.075,0.12,5,30,83,3258,1.041,8.85,,FPRO,,,,OPEN STAR CLUSTER
MWSC 5309,,,242.415,-24.44,350.313,19.691,0.02,0.09,0.185,4,31,83,1724,0.364,9.025,,ARIn,,,,OPEN STAR CLUSTER
NGC 6469,,,268.305,-22.315,6.561,1.935,0.02,0.15,0.235,3,38,83,690,0.333,8.875,,COCD,,,,OPEN STAR CLUSTER
Juchert 3,,,286.887,6.283,40.358,-0.701,0.03,0.09,0.185,7,24,83,1481,2.478,6,,DIAS,,,,OPEN STAR CLUSTER
NGC 6846,,,299.109,32.355,68.693,1.928,0.01,0.04,0.075,1,20,83,4451,1.049,9.155,,DIAS,,,,OPEN STAR CLUSTER
NGC 189,,,9.87,61.115,121.488,-1.723,0.017,0.045,0.12,5,17,82,1300,0.7,8.709,0.047,DIAS,,,,OPEN STAR CLUSTER
FSR 0538,,,20.512,63.703,126.315,1.033,0.01,0.06,0.115,3,27,82,2146,1.062,8.86,0.018,DIAS,irc,,,OPEN STAR CLUSTER
SAI 47,,,80.985,42.323,166.36,3.546,0.018,0.065,0.125,4,24,82,1523,0.271,9.2,,DIAS,,,,OPEN STAR CLUSTER
FSR 0839,,,91.013,30.27,180.869,4.132,0.01,0.06,0.125,2,26,82,2254,1.041,8.86,,FPOS,,,,OPEN STAR CLUSTER
Mon OB1-D,n,o,100.267,9.6,203.21,2.084,0.03,0.1,0.195,1,27,82,2647,1.978,8.23,0.049,BIEM,irc,,,NEBULA
Dolidze 25,,,101.28,0.24,211.998,-1.296,0.01,0.06,0.12,3,30,82,2800,0.666,6.75,,DIAS,,,,OPEN STAR CLUSTER
NGC 2658,,,130.875,-32.665,254.567,6.074,0.02,0.12,0.23,3,53,82,3123,0.083,8.975,0.025,DIAS,,,,OPEN STAR CLUSTER
FSR 0033,r,o,262.44,-15.635,9.397,10.144,0.01,0.06,0.09,4,39,82,7893,0.354,9.6,,FPOS,,,,OPEN STAR CLUSTER
vdBergh-Hagen 229,g,o,262.772,-29.967,357.437,2.123,0.018,0.07,0.13,1,25,82,8197,1.124,10.1,,HARR,glo,-0.945,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
MWSC 4408,,,273.877,-60.215,334.207,-19.07,0.018,0.095,0.165,4,34,82,2167,0.687,8.495,0.085,AIPk,,,,OPEN STAR CLUSTER
NGC 6613,n,o,274.995,-17.11,14.177,-1.018,0.02,0.1,0.19,4,30,82,1213,0.562,7.705,0.067,COCD,,,,NEBULA
FSR 0213,,,306.745,38.972,77.625,0.379,0.01,0.065,0.12,2,36,82,1434,0.833,8.715,0.065,DIAS,irc,,,OPEN STAR CLUSTER
Teutsch 22,,,315.42,44.12,85.684,-1.514,0.015,0.045,0.09,9,31,82,2629,1.041,8.5,0.065,DIAS,,,,OPEN STAR CLUSTER
SAI 143,,,317.719,50.292,91.304,1.478,0.018,0.035,0.08,11,24,82,8999,2.101,8.6,,DIAS,,,,OPEN STAR CLUSTER
FSR 0388,r,c,335.88,63.445,107.267,5.166,0.025,0.095,0.215,3,18,82,1050,1.651,8.13,,FPOS,,,,OPEN STAR CLUSTER
King 20,,,353.325,58.463,112.847,-2.87,0.03,0.06,0.115,15,39,82,1850,0.7,8.648,0.05,DIAS,,,,OPEN STAR CLUSTER
NGC 1624,n,o,70.158,50.451,155.369,2.604,0.01,0.05,0.1,2,22,81,5466,1.124,6.65,,DIAS,,,,NEBULA
NGC 1724,r,o,75.847,49.49,158.437,4.825,0.02,0.05,0.13,6,20,81,2200,0.3,9,,DREM,ast,,,OPEN STAR CLUSTER
Koposov 77,,,85.968,21.705,185.97,-4.107,0.02,0.065,0.115,8,31,81,1750,0.57,9.445,,DIAS,,,,OPEN STAR CLUSTER
FSR 1057,,,101.79,1.965,210.696,-0.055,0.012,0.075,0.12,3,43,81,2910,0.562,9.065,0.023,FPRO,,,,OPEN STAR CLUSTER
Alessi 60,,,105.626,-1.117,215.188,1.951,0.015,0.053,0.1,7,35,81,2610,0.208,8.64,0.029,DIAS,,,,OPEN STAR CLUSTER
FSR 1289,,,107.138,-26.158,238.22,-8.131,0.02,0.1,0.16,2,30,81,1791,0.416,8.605,,FPOS,,,,OPEN STAR CLUSTER
FSR 1382,,,130.732,-35.785,256.967,4.066,0.015,0.06,0.115,4,30,81,1811,0.5,9.1,0.048,FPOS,,,,OPEN STAR CLUSTER
FSR 1577,,,142.192,-76.085,291.661,-17.875,0.018,0.085,0.15,5,32,81,1561,0.104,9.6,,FPOS,,,,OPEN STAR CLUSTER
Ruprecht 104,,,186.255,-60.445,299.677,2.26,0.018,0.075,0.115,5,37,81,2702,0.75,8.89,0.03,DIAS,,,,OPEN STAR CLUSTER
FSR 1635,r,c,193.737,-43.503,303.607,19.364,0.025,0.1,0.165,3,34,81,6271,0.042,9.3,,FPOS,,,,OPEN STAR CLUSTER
Loden 894,r,c,204.921,-64.32,308.13,-1.936,0.015,0.07,0.12,2,26,81,1423,0.729,9.04,,DIAS,,,,OPEN STAR CLUSTER
FSR 0041,r,o,255.877,-8.838,11.754,19.205,0.012,0.085,0.16,3,24,81,4004,0.583,9.5,,FPOS,,,,OPEN STAR CLUSTER
Djorg 2,g,o,270.454,-27.817,2.771,-2.504,0.01,0.045,0.085,1,24,81,6305,0.937,9.95,,HARR,glo,-0.55,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
FSR 0009,,,277.137,-31.905,1.861,-9.536,0.012,0.055,0.105,2,32,81,5174,0.562,9.155,,FPOS,,,,OPEN STAR CLUSTER
MWSC 4602,,,315.69,10.765,59.294,-22.883,0.018,0.13,0.23,4,28,81,1274,0.229,8.785,,AIPk,,,,OPEN STAR CLUSTER
Basel 14,,,320.257,44.825,88.561,-3.551,0.01,0.07,0.11,2,34,81,1802,0.687,8.805,,DIAS,,,,OPEN STAR CLUSTER
Stock 17,,,355.947,62.165,115.125,0.323,0.01,0.045,0.09,3,22,81,2400,0.7,7,,DIAS,,,,OPEN STAR CLUSTER
FSR 0833,,,91.35,30.793,180.552,4.64,0.01,0.053,0.115,3,23,80,2088,0.625,9.1,0.029,FPOS,,,,OPEN STAR CLUSTER
Ivanov 7,,,112.662,-15.303,230.983,1.479,0.01,0.06,0.125,1,26,80,4141,0.666,8.7,0.046,DIAS,,,,OPEN STAR CLUSTER
Ruprecht 151,,,115.32,-16.29,233.091,3.234,0.02,0.09,0.15,3,38,80,1490,0.416,8.15,,COCD,,-0.102,0.102,OPEN STAR CLUSTER
FSR 1220,r,c,115.927,-11.03,228.783,6.331,0.015,0.1,0.17,2,29,80,1410,0.416,8.57,,FPOS,,,,OPEN STAR CLUSTER
ESO 494-09,,,119.817,-27.583,244.942,1.085,0.018,0.06,0.13,3,17,80,1905,0.312,8.735,,DIAS,,,,OPEN STAR CLUSTER
NGC 2588,,,125.805,-32.97,252.282,2.461,0.01,0.065,0.14,2,25,80,2421,0.25,8.9,,DIAS,,,,OPEN STAR CLUSTER
NGC 2670,,,131.393,-48.82,267.508,-3.628,0.018,0.07,0.11,4,38,80,1294,0.437,8.14,,COCD,,,,OPEN STAR CLUSTER
ESO 260-17,,,136.188,-46.035,267.476,0.646,0.015,0.055,0.115,4,25,80,1808,0.666,8.99,0.066,DIAS,dub,,,OPEN STAR CLUSTER
Teutsch 103,,,142.155,-46.6,270.753,3.208,0.02,0.055,0.09,4,31,80,2663,0.937,8.975,,DIAS,,,,OPEN STAR CLUSTER
FSR 1507,,,143.482,-56.248,277.946,-3.278,0.012,0.055,0.105,3,22,80,1445,0.625,8.8,,FPRO,,,,OPEN STAR CLUSTER
Ruprecht 88,r,c,154.7,-63.137,286.652,-5.197,0.018,0.085,0.13,1,33,80,1876,0.416,8.98,,DIAS,,,,OPEN STAR CLUSTER
MWSC 4158,,,191.115,-38.31,301.427,24.541,0.02,0.115,0.195,2,30,80,1616,0.333,9.02,0.072,AIPk,,,,OPEN STAR CLUSTER
FSR 1639,r,o,197.317,-77.135,303.955,-14.299,0.025,0.11,0.195,3,28,80,7943,0,9.3,,FPOS,,,,OPEN STAR CLUSTER
DBSB 93,,,229.718,-56.66,322.182,0.598,0.017,0.055,0.1,4,24,80,2049,1.374,8.2,,BOPN,irc,,,OPEN STAR CLUSTER
Hogg 21,,,251.4,-47.747,337.944,-1.444,0.015,0.07,0.12,4,36,80,1750,0.729,7.45,,DIAS,,,,OPEN STAR CLUSTER
BDSB 114,,,273.663,-17.881,12.895,-0.266,0.012,0.045,0.07,6,40,80,4269,1.083,6.335,,BIRN,irc,,,OPEN STAR CLUSTER
FSR 0110,r,o,291.447,2.005,38.663,-6.711,0.015,0.08,0.125,4,45,80,1361,0.25,9.225,,FPOS,,,,OPEN STAR CLUSTER
Kronberger 52,,,299.534,30.883,67.624,0.853,0.015,0.04,0.077,5,28,80,2735,0.979,9,,DIAS,,,,OPEN STAR CLUSTER
Basel 6,,,301.673,38.365,74.907,3.324,0.015,0.06,0.13,4,21,80,3108,0.583,9.11,0.045,DIAS,,,,OPEN STAR CLUSTER
FSR 0222,,,305.033,40.833,78.397,2.522,0.02,0.07,0.115,7,34,80,1238,1.666,7.2,,DIAS,irc,,,OPEN STAR CLUSTER
NGC 6913,,,306,38.51,76.912,0.587,0.02,0.06,0.12,4,25,80,1173,0.833,7.51,,COCD,,,,OPEN STAR CLUSTER
Collinder 428,n,o,315.768,44.56,86.179,-1.408,0.01,0.07,0.11,5,36,80,1185,0.718,8.855,,DIAS,,,,NEBULA
NGC 7089,g,o,323.363,-0.823,53.371,-35.77,0.06,0.14,0.26,16,58,80,11507,0.062,10.1,,HARR,glo,-1.545,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
FSR 0264,,,324.813,36.355,85.165,-12.056,0.013,0.077,0.14,3,29,80,2398,0.312,9.41,0.03,FPOS,,,,OPEN STAR CLUSTER
NGC 7423,,,343.791,57.095,107.616,-2.278,0.015,0.06,0.11,4,35,80,6001,0.5,8.901,0.038,DIAS,,,,OPEN STAR CLUSTER
FSR 0443,,,355.897,59.08,114.301,-2.65,0.012,0.065,0.12,3,22,80,1821,1.083,8.8,0.02,DIAS,irc,,,OPEN STAR CLUSTER
FSR 0522,,,13.5,65.797,123.195,2.927,0.02,0.055,0.105,5,29,79,2094,0.916,8.55,,DIAS,irc,,,OPEN STAR CLUSTER
IRAS 02232+6138,,,36.642,61.988,133.852,1.15,0.03,0.115,0.19,3,31,79,1835,1.187,6.85,,LLEM,emb,,,OPEN STAR CLUSTER
FSR 0886,,,83.746,17.268,188.666,-8.217,0.014,0.07,0.15,4,22,79,1685,0.521,9.11,,FPOS,,,,OPEN STAR CLUSTER
FSR 1151,,,99.293,-10.085,220.349,-7.722,0.018,0.075,0.15,3,31,79,2864,0.979,8.89,0.046,FPOS,,,,OPEN STAR CLUSTER
NGC 2265,,,100.437,11.91,201.227,3.285,0.015,0.075,0.13,3,34,79,2892,0.604,7.25,0.016,DIAS,non,,,OPEN STAR CLUSTER
MWSC 4119,,,106.515,-57.23,267.674,-20.653,0.025,0.13,0.205,3,37,79,2347,0.458,8.985,0.031,AIPk,,,,OPEN STAR CLUSTER
FSR 1170,,,106.875,-8.865,222.645,-0.498,0.015,0.075,0.15,4,31,79,2276,0.666,8.755,0.073,DIAS,irc,,,OPEN STAR CLUSTER
FSR 1468,,,137.947,-48.07,269.785,0.15,0.018,0.07,0.125,4,30,79,1005,0.895,8.3,,FPRO,,,,OPEN STAR CLUSTER
vdBergh-Hagen 91,,,154.245,-58.695,284.003,-1.62,0.015,0.105,0.15,2,36,79,749,0.083,8.35,,COCD,,,,OPEN STAR CLUSTER
Ruprecht 103,r,o,184.23,-58.417,298.413,4.152,0.012,0.07,0.115,4,39,79,1298,0.416,9.11,,DREM,ast,,,OPEN STAR CLUSTER
MWSC 5215,,,206.512,-41.843,313.709,19.883,0.03,0.105,0.175,12,40,79,3118,0.406,9.29,0.032,ARIn,,,,OPEN STAR CLUSTER
FSR 1661,,,209.482,-69.365,308.765,-7.25,0.012,0.06,0.1,4,32,79,4331,0.208,9.4,,FPOS,,,,OPEN STAR CLUSTER
FSR 1737,,,244.595,-40.22,340.115,7.263,0.015,0.05,0.09,5,28,79,2136,1.249,9.5,,FPOS,,,,OPEN STAR CLUSTER
ESO 587-04,,,256.087,-19.45,2.729,13.072,0.01,0.065,0.115,1,28,79,5271,0.437,9.175,,DIAS,dub,,,OPEN STAR CLUSTER
Archinal 1,,,283.71,5.54,38.251,1.769,0.012,0.06,0.1,6,49,79,1453,1.52,8,,DIAS,,,,OPEN STAR CLUSTER
FSR 0148,,,294.368,21.315,57.027,0.019,0.02,0.09,0.14,4,37,79,941,1.655,6,,FPOS,,,,OPEN STAR CLUSTER
SAI 16,,,31.413,62.265,131.448,0.627,0.012,0.045,0.09,4,29,78,4739,0.999,9.15,,DIAS,,,,OPEN STAR CLUSTER
FSR 0660,r,c,60.615,51.917,150.102,-0.581,0.02,0.06,0.1,9,42,78,3213,1.291,6.75,,DIAS,irc,,,OPEN STAR CLUSTER
NGC 1641,r,o,68.858,-65.74,277.196,-38.331,0.03,0.16,0.26,2,33,78,985,0.104,9.52,,DIAS,rem,,,OPEN STAR CLUSTER
FSR 0913,,,81.384,11.593,192.346,-13.153,0.01,0.085,0.19,1,31,78,1633,1.041,8.9,,FPOS,,,,OPEN STAR CLUSTER
FSR 0936,,,97.147,16.927,195.301,2.752,0.01,0.07,0.115,2,31,78,3161,0.625,8.955,0.045,FPRO,,,,OPEN STAR CLUSTER
FSR 1149,,,105.998,-6.385,220.042,-0.131,0.014,0.06,0.11,3,27,78,2972,0.729,8.265,,FPOS,,,,OPEN STAR CLUSTER
Collinder 465,r,c,106.71,-10.52,224.04,-1.403,0.013,0.075,0.175,1,20,78,5410,0.416,8.8,,DIAS,non,,,OPEN STAR CLUSTER
Alessi 3,,,109.05,-46.617,257.837,-15.395,0.02,0.17,0.44,1,18,78,311,0.11,8.87,,COCD,,-0.275,0.111,OPEN STAR CLUSTER
ESO 430-14,,,120.892,-31.415,248.69,-0.146,0.018,0.07,0.13,3,25,78,2860,0.833,7.21,,DIAS,dub,,,OPEN STAR CLUSTER
