name,broad_type,cluster_status,ra,dec,lii,bii,core_radius,central_radius,cluster_radius,num_core_stars,num_central_stars,num_cluster_stars,distance,e_bv,log_age,log_age_error,reference_code,cluster_type,metallicity,metallicity_error,class
Collinder 277,r,c,207.06,-66.075,308.654,-3.836,0.02,0.08,0.13,2,14,34,2204,0.416,8.3,,DIAS,,,,OPEN STAR CLUSTER
vdBergh-Hagen 197,,,251.625,-45.85,339.486,-0.328,0.015,0.06,0.085,3,23,34,2069,0.999,8.94,0.054,DIAS,,,,OPEN STAR CLUSTER
MWSC 5354,,,261.345,13.465,35.754,25.062,0.018,0.12,0.21,1,20,34,1004,0.437,9.25,,ARIn,,,,OPEN STAR CLUSTER
MWSC 5366,,,269.783,31.83,57.694,24.304,0.02,0.075,0.145,4,12,34,1658,0.16,9.285,,ARIn,,,,OPEN STAR CLUSTER
Ruprecht 142,,,278.055,-12.215,19.888,-1.354,0.01,0.065,0.1,1,21,34,1802,0.999,8.53,,DIAS,,,,OPEN STAR CLUSTER
FSR 1785,r,c,281.028,-36.942,358.553,-14.555,0.015,0.055,0.09,2,12,34,4080,0.146,9.4,,FPOS,,,,OPEN STAR CLUSTER
FSR 0094,,,282.469,-1.022,31.845,-0.119,0.011,0.04,0.085,2,11,34,2069,2.644,6,,DIAS,irc,,,OPEN STAR CLUSTER
MWSC 5373,,,286.35,56.34,86.741,20.457,0.011,0.07,0.13,1,12,34,1664,0.291,9.1,,ARIn,,,,OPEN STAR CLUSTER
G 76.2-0.3,,,306.368,37.39,76.164,-0.296,0.01,0.035,0.06,3,15,34,1547,1.312,7.475,,BIEM,irc,,,OPEN STAR CLUSTER
FSR 0161,,,313.291,16.892,63.102,-17.388,0.01,0.05,0.1,1,11,34,3620,0.021,9.5,,FPOS,,,,OPEN STAR CLUSTER
MWSC 5779,,,325.928,25.82,78.378,-20.394,0.017,0.07,0.135,2,15,34,2642,0.281,9.13,,ARIs,,,,OPEN STAR CLUSTER
FSR 0515,,,12.682,54.765,122.829,-8.107,0.012,0.051,0.085,2,19,33,2362,0.416,9.275,,FPOS,,,,OPEN STAR CLUSTER
MWSC 5558,,,20.677,37.965,129.7,-24.495,0.025,0.09,0.16,4,17,33,2020,0.229,9.125,,ARIs,,,,OPEN STAR CLUSTER
FSR 0691,r,o,55.335,34.655,158.294,-16.301,0.015,0.06,0.135,3,15,33,1600,0.799,9.04,0.029,FPOS,,,,OPEN STAR CLUSTER
FSR 0653,r,o,60.956,55.419,147.939,2.181,0.013,0.04,0.07,2,16,33,7317,1.02,8.84,,FPOS,,,,OPEN STAR CLUSTER
Mayer 2,n,o,64.938,53.175,151.171,2.13,0.01,0.035,0.075,1,13,33,2100,0.899,9.25,,DIAS,,,,NEBULA
MWSC 5633,,,68.355,9.4,186.724,-25.018,0.025,0.095,0.161,6,20,33,1481,0.302,9.1,,ARIs,,,,OPEN STAR CLUSTER
Berkeley 22,,,89.631,7.757,199.885,-8.062,0.01,0.04,0.095,1,11,33,5493,0.625,9.5,,DIAS,,-0.32,0.19,OPEN STAR CLUSTER
MWSC 5668,,,94.882,-29.365,236.766,-19.344,0.02,0.105,0.18,2,18,33,2141,0.458,8.9,0.048,ARIs,,,,OPEN STAR CLUSTER
Berkeley 73,,,95.516,-6.319,215.257,-9.396,0.01,0.05,0.085,1,13,33,7881,0.208,9.15,,DIAS,,-0.22,0.1,OPEN STAR CLUSTER
Bochum 2,,,102.21,0.38,212.298,-0.405,0.015,0.05,0.1,3,11,33,2778,0.874,6.665,,DIAS,,,,OPEN STAR CLUSTER
MWSC 5672,,,108.832,-78.44,290.191,-25.352,0.013,0.075,0.135,1,13,33,1288,0.468,9.49,,ARIs,,,,OPEN STAR CLUSTER
FSR 0944,,,110.453,22.5,195.65,16.448,0.02,0.07,0.13,2,16,33,4755,0.666,8.7,,FPOS,,,,OPEN STAR CLUSTER
Czernik 29,r,o,112.092,-15.405,230.81,0.947,0.01,0.035,0.085,1,8,33,2879,0.479,8.5,,DIAS,,,,OPEN STAR CLUSTER
FSR 1335,,,123.001,-29,247.643,2.693,0.013,0.05,0.095,1,13,33,3835,0.562,9.205,0.064,FPOS,,,,OPEN STAR CLUSTER
DBSB 13,r,o,123.06,-22.345,242.075,6.366,0.01,0.065,0.1,3,17,33,3558,0.291,8.735,0.059,BOPN,irc,,,OPEN STAR CLUSTER
ESO 370-13,r,o,126.783,-34.7,254.165,2.128,0.01,0.05,0.07,2,19,33,7617,0.593,8.9,,DIAS,,,,OPEN STAR CLUSTER
FSR 1346,r,o,134.055,-23.435,248.953,13.981,0.02,0.07,0.14,3,12,33,3047,0.25,9.2,,FPOS,,,,OPEN STAR CLUSTER
NGC 4230,,,184.335,-55.12,298.028,7.427,0.02,0.09,0.135,3,19,33,2630,0.312,8.945,0.083,DIAS,,,,OPEN STAR CLUSTER
DBSB 85,,,199.613,-62.665,306.027,0.044,0.015,0.035,0.065,3,7,33,2024,1.457,7.45,,BOPN,irc,,,OPEN STAR CLUSTER
IRAS 15015-5720,n,o,226.325,-57.528,320.154,0.798,0.01,0.03,0.058,0,9,33,3391,1.083,6.4,,BIEM,irc,,,NEBULA
vdBergh-Hagen 176,g,o,234.773,-50.051,328.41,4.341,0.02,0.06,0.1,1,11,33,18887,0.541,9.8,,DREM,glo,-0.1,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
MWSC 5300,,,235.935,-10.3,357.008,33.924,0.03,0.115,0.195,3,16,33,1506,0.344,9.4,,ARIn,,,,OPEN STAR CLUSTER
DBSB 149,n,o,238.537,-53.18,328.321,0.438,0.015,0.028,0.045,6,14,33,4204,1.187,6.4,,BIRN,irc,,,NEBULA
DBSB 153,n,o,241.908,-52.53,330.285,-0.404,0.012,0.05,0.09,2,14,33,6497,1.978,8,,BIRN,irc,,,NEBULA
W 42,n,o,279.562,-6.797,25.383,-0.18,0.012,0.045,0.07,0,18,33,4261,1.562,6,,BIEM,irc,,,NEBULA
BDSB 136,n,o,288.54,11.21,45.482,0.128,0.01,0.025,0.045,2,12,33,6292,1.728,6,,BIRN,irc,,,NEBULA
MWSC 5744,,,305.085,-42.245,358.45,-33.764,0.023,0.07,0.115,4,15,33,1836,0.25,9.22,,ARIs,,,,OPEN STAR CLUSTER
NGC 6904,,,305.46,25.735,66.136,-6.322,0.011,0.07,0.1,1,19,33,2920,1.936,7.8,,DIAS,non,,,OPEN STAR CLUSTER
NGC 7055,,,319.89,57.607,97.481,5.618,0.02,0.05,0.1,5,12,33,1948,1.249,8.4,,DIAS,non,,,OPEN STAR CLUSTER
Teutsch 76,,,337.185,61.634,106.819,3.31,0.012,0.03,0.067,3,13,33,3501,1.274,6.9,,DIAS,,,,OPEN STAR CLUSTER
Teutsch 39,,,339.154,37.726,95.473,-17.854,0.025,0.085,0.19,2,11,33,600,0.2,7.7,,DIAS,,,,OPEN STAR CLUSTER
Stock 18,,,0.398,64.625,117.622,2.268,0.01,0.05,0.08,2,20,32,774,0.177,8.68,,DIAS,,,,OPEN STAR CLUSTER
NGC 1444,,,57.349,52.64,148.105,-1.308,0.015,0.06,0.1,3,19,32,1300,0.6,6.85,,DIAS,,,,OPEN STAR CLUSTER
FSR 0742,,,72.647,38.134,165.887,-4.054,0.02,0.053,0.08,4,21,32,1250,0.7,8.95,,FPOS,,,,OPEN STAR CLUSTER
FSR 0841,,,76.585,21.527,181.273,-11.488,0.02,0.085,0.14,3,16,32,2428,0.541,8.68,,FPOS,,,,OPEN STAR CLUSTER
FSR 0907,r,c,82.37,13.36,191.326,-11.405,0.02,0.06,0.115,4,11,32,2710,1.041,9.155,0.035,FPOS,,,,OPEN STAR CLUSTER
FSR 1050,r,o,85.485,-5.295,209.713,-17.861,0.014,0.09,0.165,1,13,32,1241,0.874,9.1,,FPOS,,,,OPEN STAR CLUSTER
Alessi 15,,,100.763,1.675,210.485,-1.101,0.018,0.06,0.11,2,16,32,2362,0.416,9.19,,DIAS,,,,OPEN STAR CLUSTER
Berkeley 26,,,102.547,5.755,207.665,2.344,0.01,0.045,0.085,2,12,32,2724,0.541,8.71,0.118,DIAS,,-0.7,,OPEN STAR CLUSTER
Collinder 466,,,106.734,-10.72,224.228,-1.474,0.01,0.055,0.095,1,17,32,1037,0.062,8.405,,DIAS,dub,,,OPEN STAR CLUSTER
FSR 1377,,,109.575,-44.67,256.147,-14.274,0.016,0.065,0.115,3,12,32,4640,0.521,8.845,0.058,FPOS,,,,OPEN STAR CLUSTER
FSR 1268,,,113.934,-19.779,235.488,0.376,0.015,0.065,0.1,2,19,32,974,0.021,8.62,,FPRO,,,,OPEN STAR CLUSTER
NGC 2849,,,139.846,-40.517,265.27,6.362,0.01,0.04,0.085,4,12,32,4800,0.291,9.095,,DIAS,,,,OPEN STAR CLUSTER
FSR 1449,,,151.766,-31.995,266.78,19.101,0.015,0.1,0.17,2,15,32,2154,0.416,9.095,0.037,FPOS,,,,OPEN STAR CLUSTER
Ruprecht 87,,,153.87,-50.71,279.361,4.884,0.015,0.045,0.08,4,15,32,5254,0.458,8.985,,DIAS,,,,OPEN STAR CLUSTER
Loden 59,,,157.567,-54.04,283.066,3.296,0.01,0.085,0.14,1,15,32,570,0.062,8.3,,COCD,,,,OPEN STAR CLUSTER
Teutsch 106,,,164.855,-59.535,289.159,0.308,0.01,0.045,0.075,2,11,32,6702,0.979,8.78,,DIAS,,,,OPEN STAR CLUSTER
DBSB 60,,,166.404,-62.485,291.047,-2.081,0.01,0.04,0.055,2,22,32,3740,1.353,6.75,,BOPN,irc,,,OPEN STAR CLUSTER
ESO 093-08,g,c,169.922,-65.217,293.506,-4.038,0.01,0.038,0.07,0,9,32,13797,0.625,9.8,,DIAS,,-0.35,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
DBSB 80,,,192.595,-61.582,302.806,1.289,0.015,0.04,0.07,0,11,32,2132,1.416,6.9,,BOPN,irc,,,OPEN STAR CLUSTER
IC 1023,r,o,218.085,-35.82,324.932,22.704,0.025,0.085,0.135,3,17,32,1298,0.104,9.48,0.001,DREM,ast,,,OPEN STAR CLUSTER
DBSB 137,n,o,220.509,-60.51,316.138,-0.506,0.01,0.035,0.055,1,13,32,5276,1.208,6,,BIRN,irc,,,NEBULA
DBSB 89,,,221.257,-59.833,316.759,-0.046,0.01,0.035,0.065,1,12,32,4069,1.562,6,,BOPN,irc,,,OPEN STAR CLUSTER
FSR 1705,r,c,226.066,-45.55,325.955,11.301,0.018,0.04,0.07,6,14,32,1582,0.167,9.4,,FPOS,,,,OPEN STAR CLUSTER
Lynga 11,,,249.532,-46.295,338.195,0.471,0.015,0.05,0.085,1,16,32,4101,1.353,6,,DIAS,,,,OPEN STAR CLUSTER
MWSC 5333,,,252.225,16.9,35.464,34.505,0.03,0.09,0.17,3,13,32,1968,0.25,9.35,,ARIn,,,,OPEN STAR CLUSTER
